STT,Tên bài hát,Tác giả,Thể loại
418,Tâm sự người lính trẻ,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
419,Hình bóng quê nhà,Đăng Minh,Ca cổ
420,Sài Gòn ơi vĩnh biệt,Lam Phương,Bolero|Lam Phương
421,Còn lại một mình,Nguyễn Ngọc Thiện,Hoàng Tuấn|Nguyễn Ngọc Thiện|Nhạc trữ tình
422,Chuyện ngày xưa,Giao Tiên,Bolero
423,Hồn trinh nữ,Trịnh Lâm Ngân,
424,Trang Nhật Ký,Vĩnh Phúc,
425,Anh Thì Không,Vũ Xuân Hùng,Nhạc ngoại|Vũ Xuân Hùng|Lời Việt
426,Lời tỏ tình đáng yêu,Giao Tiên,
427,Ký Ức Của Một Người Say,Đông Thiên Đức,"Pop, Ballad"
428,Anh Chỉ Biết Câm Nín Nghe Tiếng Em Khóc,Nguyễn Hoài Anh,Pop
429,Lan Và Điệp 4,Hamlet Trương,Nhạc Trữ Tình
430,Đà Lạt hoàng hôn,Anh Bằng,
431,Lệ Đá,Trần Trịnh,
432,Đêm vũ trường,Anh Bằng,
433,Đau Xót Lý Con Cua,Lý Bông Dừa,Ca cổ
434,Đến Sau,Hamlet Trương|Gia Đoàn,Pop
435,Yêu Sai Người,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
436,Ngày xưa,Anh Bằng,Bolero
437,Chúng ta rồi sẽ hạnh phúc,Trịnh Trần Phương Tuấn (Jack),Nhạc trẻ
438,Cứ ngỡ là anh,Đinh Tùng Huy,Ballad|Đinh Tùng Huy
439,Xin Hãy Rời Xa,Đỗ Hiếu,Nhạc trẻ
440,Tình yêu nào đêm nay,Hàn Châu,Bolero|Hàn Châu
441,Mùa mưa đi qua,Hà Phương,
442,Tình đời (Duyên kiếp cầm ca),Anh Bằng,
443,Yêu Là Cưới,Sinike,Sinike|pop
444,Cho người tình nhỏ,Anh Bằng,
445,Phát Nguyện Trì Kinh,Giác An,Giác An|Phật giáo
446,Như Anh Mơ,TaynguyenSound,Nhạc trẻ|TaynguyenSound
447,Dậy đi ba ơi,Đông Phương Tường,Nhạc thiếu nhi
448,Buồn,Lam Phương,Lam Phương|Bolero
449,Tuyệt Sắc,Nam Đức,Nam Duc|Nhạc trẻ
450,Người lạ từng thương,Như Việt,Ballad|Như Việt
451,Gái nhà nghèo,Vinh Sử,
452,Hà Tĩnh quê ơi,Ngô Sỹ Ngọc,Nhạc trữ tình
453,Hương Tình Cũ,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
454,Mèo lười,Nguyễn Văn Chung,Nhạc thiếu nhi
455,Mất nhau rồi (Thà trắng thà đen),Giao Tiên,
456,Người Thứ Ba,Nguyễn Hoài Anh,Pop
457,Thành phố mưa bay,Bằng Giang,
458,Lệ Đá,Trần Trịnh,Bolero
459,Tết Này Có Nhau,Hoa Vũ,Pop
460,Mùa xuân không còn nữa,Lam Phương,Bolero|Lam Phương
461,Giờ Không Cưới Thì Nào Cưới,Hồng Quân WyTy,Pop
462,Dặm Trường Tương Tư,Dee Trần,Nhạc trẻ
463,Một Trời La Vang,Thế Thông,Nhạc thánh ca|Thế Thông
464,Lính trận xa nhà,Trịnh Lâm Ngân,
465,Thư tình của lính,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
466,Anh làm gì sai,Khánh Cường,Khánh Cường|Ballad
467,Không sao em à,Đinh Tùng Huy,Ballad|Đinh Tùng Huy
468,Chuyện tình ngưu lang chức nữ,Anh Bằng,
469,Em Làm Du Xứ Nghệ,Ngô Sỹ Ngọc,Nhạc trữ tình
470,Bài Tango cho em,Lam Phương,Lam Phương|Bolero
471,Chung vầng trăng đợi,Đăng Minh,Ca cổ
472,Kiếp ve sầu,Lam Phương,Lam Phương|Bolero
473,Sa mạc tình yêu,Khúc Lan,
474,Một mình,Lam Phương,Lam Phương|Bolero
475,Con gái của mẹ,Giao Tiên,
476,Không còn nhớ người yêu,Vinh Sử,
477,Anh còn yêu em,Anh Bằng,Bolero
478,Chuyện một người đi,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
479,Anh cần có em,Khúc Lan,Nhạc ngoại lời Việt
480,Ghé Qua,TaynguyenSound,TaynguyenSound|Nhạc trẻ
481,Con Tim Không Đổi Thay,Dee Trần,Nhạc trẻ
482,Chuyến đò vỹ tuyến,Lam Phương,Bolero|Lam Phương
483,Chờ đông,Ngân Giang,Bolero|Ngân Giang
484,Nó,Anh Bằng,Bolero
485,Ai Là Người Thương Em,Thanh Hưng,pop|Great Entertainment
486,Đợi em trong mơ,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
487,Như vạt nắng,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
488,Khi Thế Giới Mất Đi Một Người,Lâm Triệu Minh,Lâm Triệu Minh
489,Tình đầu dang dở,Vũ Phương,Bolero|Vũ Phương
490,Ơn Cha,Ngô Huỳnh,Ngô Huỳnh|Bolero
491,Còn nhớ không em,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
492,Út Cưng,Nguyễn Văn Tý,
493,Đời còn cô đơn,Đài Phương Trang|Trúc Hồ,Trúc Hồ|Nhạc trữ tình|Đài Phương Trang
494,Anh Vẫn Ở Đây,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
495,Thiệp Hồng Người Dưng,Sinike,pop
496,Đôi bóng,Anh Bằng,
497,Đêm sầu đời,Vinh Sử,
498,Anh là tia nắng trong em,Trúc Sinh,Nhạc trữ tình|Trúc Sinh
499,Giấc ngủ cô đơn,Anh Bằng,Bolero
500,Lý con sáo bạc liêu,Phan Ni Tấn,Nhạc trữ tình
501,Đời người,Vinh Sử,Bolero
502,Cơm Đoàn Viên,Đông Thiên Đức,"Pop, Ballad"
503,Trả lại em,Lam Phương,Bolero|Lam Phương
504,Chuyện tình hoa muống biển,Hoàng Phương,
505,Chiếc lá cuối cùng,Trần Trịnh,Bolero
506,Tình đẹp như mơ,Lam Phương,Lam Phương|Bolero
507,Như Phút Ban Đầu,Đỗ Hiếu,Nhạc trẻ
508,Bức tranh xuân(Con bướm xuân),Anh Bằng,
509,Áng Mây Vô Tình,Lương Gia Hùng,"Pop, Ballad"
510,Như Bến Đợi Đò,Hana Cẩm Tiên,"pop, ballad"
511,Chiều Đồng Quê,Lý Bông Dừa,Ca cổ
512,Vòng Quay Thời Gian,Lã Phong Lâm,Pop
513,Mẹ Đã Xa Rồi,Đông Thiên Đức,pop|Đông Thiên Đức|Ballad
514,Bao giờ em quên,Duy Khánh,Bolero|Duy Khánh
515,Yêu một người gian dối,Khánh Cường,Khánh Cường|Ballad
516,Thiên đàng ái ân,Lam Phương,Lam Phương|Bolero
517,Miệng đời,Hoàng Văn Minh,Nhạc Trữ Tình
518,Ý trời,Trường Lê,pop|Trường Lê
519,Còn Gì Đau Hơn Chữ Đã Từng,Rin9,pop|Rin9
520,Bên nhau đêm nay,Anh Tài,Bolero
521,Chờ đến bao giờ,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
522,Anh Ở Đâu,Dương Khắc Linh,"Pop, Ballad"
523,Hiểu Và Thương,Thích Nhật Từ,Nhạc phật giáo
524,Tan vỡ,Lam Phương,Lam Phương|Bolero
525,Nắm,ViAM,Ballad|ViAM
526,Con heo đất,Ngọc Lễ,Nhạc thiếu nhi
527,Tình cha,Đăng Minh,Ca cổ
528,Tháng Năm Không Quên,H2K,Nhạc trẻ|H2K
529,Gió thổi bên sông,Ngọc Sơn,Bolero|Ngọc Sơn
530,Nếu anh còn mẹ,Chế Phi,Nhạc trữ tình
531,Vùng quê tương lai,Duy Khánh,Bolero|Duy Khánh
532,Thế giới hoạt hình,Nguyễn Văn Chung,Nhạc thiếu nhi
533,Ngày xuân vui cưới,Quốc Anh,
534,Tôi vẫn cô đơn,Anh Bằng,
535,Khi đã yêu,Phượng Linh,Trữ tình
536,Mắt Biếc,TaynguyenSound,TaynguyenSound|Nhạc trẻ
537,Vu Lan Nhớ Mẹ,Giác An,Giác An|Phật giáo
538,Tát Nhật Lang Rực Rỡ,Fanny Trần,Pop
539,Đám cưới miền tây,Trường Lê,pop|Trường Lê
540,Hơn bất cứ ai (Bạch nguyệt quang),Nguyễn Duy Tùng,Nhạc Hoa
541,Dư âm,Nguyễn Văn Tý,Nhạc trữ tình
542,Nỗi lòng cô gánh gạo,Ngân Giang,Nhạc trữ tình|Ngân Giang
543,Thiệp Hồng Người Dưng,Sinike,Sinike|pop
544,Dửng dưng,Giao Tiên,Bolero
545,Tuyệt tình ca,Giao Tiên,Bolero
546,Hai chữ đã từng,Như Việt,Ballad|Như Việt
547,Mai tôi đi,Anh Bằng,Bolero
548,UMEE,Jin Tuấn Nam,Jin Tuấn Nam|pop
549,Cho em quên tuổi ngọc,Lam Phương,Lam Phương|Bolero
550,Tâm Sự Người Hát Bài Quê Hương,Trịnh Lâm Ngân,Bolero
551,Phút Cuối,Rica,Nhạc trẻ|Rica
552,Lời con xin Chúa,Tuấn Hải,
553,Ba thật là giỏi,Nguyễn Văn Chung,Nhạc thiếu nhi
554,Chúng mình đừng ngại,Hùng Linh,Bolero
555,Người Đứng Sau Hạnh Phúc,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
556,Tình em ngọn nến,Khúc Lan,
557,Thanh Xuân Anh Em Để Đâu,H-Kray,pop|H-Kray
558,Hoa biển,Trần Thiện Thanh|Anh Thy,Anh Thy|Trần Thiện Thanh|Bolero
559,Sầu tím thiệp hồng,Đăng Minh,Ca cổ
560,Mùa xuân cưới em,Đăng Minh,Ca cổ
561,Nhớ nhau trong đời,Giao Tiên,
562,Biết Chưa,Kim Kim Gà,Nhạc Hoa Lời Việt
563,Đoạn tuyệt,Phượng Linh,Trữ tình
564,Cánh Hoa Tình Yêu,Vĩnh Phúc,Nhạc tình ca
565,Tình Yêu Thiên Chúa,Thế Thông,Thế Thông|Nhạc thánh ca
566,Ngày Xuân Thăm Nhau,Trịnh Lâm Ngân,
567,Tôi Đi Tìm Tôi,Nguyễn Hoài Anh,Pop
568,Chuyện giàn thiên lý 1,Anh Bằng,Bolero
569,Chuyện tình yêu,Giao Tiên,Bolero
570,Tất Cả Sẽ Thay Em,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
571,Tình nghĩa đôi ta chỉ thế thôi,Lam Phương,Bolero|Lam Phương
572,Trúc xinh,Như Việt,Ballad|Như Việt
573,Vợ Tôi,Giác An,Phật giáo|Giác An
574,Tủi Phận,Lý Bông Dừa,Ca cổ
575,Người giàu cũng khóc,Vinh Sử,
576,Lửng Lơ,Masew|Ý Tiên|RedT,RedT|Ý Tiên|pop|Masew
577,12 Con giáp,Nguyễn Văn Chung,Nhạc thiếu nhi
578,E Là Không Thể,Đông Thiên Đức,Đông Thiên Đức|pop|Ballad
579,Một Mai Giã Từ Vũ Khí,Trần Trịnh,
580,Khúc nhạc buồn,Khúc Lan,
581,Em Gái Mưa,Lý Bông Dừa,Ca cổ
582,Hồng Trần Cõi Tạm,Khang Lê,Pop
583,Anh hãy về đi,Vinh Sử,
584,Hãy Để Anh Yên,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
585,Sao anh không đến,Anh Bằng,Bolero
586,Luân vũ ngày mưa,Khúc Lan,Nhạc ngoại lời Việt
587,Phố Cũ Còn Anh,Phạm Duy Anh,Phạm Duy Anh|Ballad - pop
588,Kỷ niệm thời con gái,Vinh Sử,Bolero
589,Hoa tím bằng lăng,Vũ Phương,Vũ Phương|Bolero
590,Trên lối nhỏ,Vinh Sử,Bolero
591,Yêu một mình,Trịnh Lâm Ngân,
592,Áo thơm rơm (Tình đẹp hậu giang),Trần Thiện Thanh,Bolero|Trần Thiện Thanh
593,Nét buồn thời chiến,Vinh Sử,
594,Tình lầm lỡ,Khúc Lan,Nhạc ngoại lời Việt
595,Đại thiên bồng,Nguyễn Duy Tùng,Nhạc Hoa
596,Lá sầu riêng,Hoàng Cầm|Nguyên Chi,Bolero
597,Lỡ một cuộc tình số 2,Anh Bằng,Bolero
598,Lời Yêu Thương,Thế Thông,Thế Thông|Nhạc thánh ca
599,Tình yêu vỗ cánh,Vinh Sử,Bolero
600,Bé đi Sở Thú,Nguyễn Văn Chung,Nhạc thiếu nhi
601,Trọn Vẹn Nghĩa Tình,Đinh Tùng Huy,Pop
602,Cám ơn người tình,Lam Phương,Bolero|Lam Phương
603,Chú Vịt Con,Đông Phương Tường,Bolero
604,Tình có như không,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
605,Đêm dài chiến tuyến,Lam Phương,Lam Phương|Bolero
606,Gạt Đi Nước Mắt,Đỗ Hiếu,Nhạc trẻ
607,Người Ta,Huy Hiếu,pop|Huy Hiếu
608,Tình đơn côi,Giao Tiên,Bolero
609,Hào hoa,Giao Tiên,
610,Về quê cấm câu,Đăng Minh,Ca cổ
611,Chiều tàn,Lam Phương,Lam Phương|Bolero
612,Em Ơi Đừng Sầu,NB3 Hoài Bảo,Nhạc trẻ
613,Mưa bụi 2,Vinh Sử,
614,Lồng đèn trung thu,Nguyễn Văn Chung,Nhạc thiếu nhi
615,Người yêu của lính,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
616,Lời yêu cuối,Lam Phương,Bolero|Lam Phương
617,Tấm áo chiến sĩ mẹ vá năm xưa,Nguyễn Văn Tý,
618,Bông Hoa Đẹp Nhất,Great Entertainment,Great Entertainment|pop
619,Ưng Thì Nói,Jin Tuấn Nam,Pop
620,Năm 17 tuổi,Vinh Sử,
621,Trả Anh Về,Lý Bông Dừa,Ca cổ
622,Ngày xưa thân ái,Giao Tiên,Bolero
623,Khi,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
624,Hương tình muộn (thơ Hương Thảo),Trịnh Lâm Ngân,
625,Sao em không đến,Anh Bằng,Bolero
626,Chung vầng trăng đợi,Hoàng Phương,Bolero
627,Xuân Đã Về,Thích Nhật Từ,Nhạc phật giáo
628,Xóa tên anh đi,Trịnh Trần Phương Tuấn (Jack),Nhạc trẻ
629,Trở lại phố cũ,Minh Khang,Nhạc trữ tình|Minh Khang|Hoàng Tuấn
630,Tìm Em Trong Ký Ức,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
631,Anh Sáu về quê,Vinh Sử,
632,Khúc Thụy Du,Anh Bằng,
633,Vụ án Mã Ngưu,Đăng Minh,Ca cổ
634,Em chọn lối này,An Thuyên,Nhạc cách mạng
635,Lần đầu cũng là lần cuối (Lần đầu lần cuối),Anh Bằng,Bolero
636,Tình vẫn thiết tha,Khúc Lan,Nhạc ngoại lời Việt
637,Hoài mong,Khúc Lan,Nhạc ngoại lời Việt
638,Hai bàn tay trắng,Vinh Sử,
639,Tình Chúa,Thế Thông,Nhạc thánh ca|Thế Thông
640,So Đo,Đông Thiên Đức,"Pop, Ballad"
641,Trường cũ tình xưa,Diệp Vàm Cỏ,Ca cổ
642,Đôi Mươi,Trần Trịnh,Bolero
643,Nỗi lòng chinh nhân,Hàn Châu,Hàn Châu|Bolero
644,Đêm gọi người yêu,Anh Bằng,Bolero
645,Mực tìm mồng tơi,Hàn Châu,Hàn Châu|Bolero
646,Nếu có ai hỏi,Anh Bằng,
647,Có Không Giữ Mất Đừng Tìm,Bùi Công Nam,Nhạc trẻ
648,Xin Anh Đừng,Đỗ Hiếu,Nhạc trẻ
649,Cơn mưa hạ,Trúc Hồ|Trầm Tử Thiêng,Nhạc trữ tình|Trầm Tử Thiêng|Trúc Hồ
650,Ly cafe cuối cùng,Anh Bằng,
651,Cung đàn mới,Ngô Hồng Khanh,Ca cổ
652,Sắc hoa màu nhớ,Vì Dân,Trữ tình
653,Căn nhà mộng ước (Mộng ước đây rồi em ở đâu),Hoàng Phương,
654,Buồn không em,Lam Phương,Bolero|Lam Phương
655,Phiêu Bồng,TaynguyenSound,Nhạc trẻ|TaynguyenSound
656,Gửi Người Em Hà Tĩnh,Phạm Tôn Tẫn  - Đinh Hữu Tân,Nhạc Trữ tình quê hương
657,Ước Nguyện Đầu Xuân,Giác An,Giác An|Phật giáo
658,Mùa chia tay,Duy Khánh,Bolero|Duy Khánh
659,Hà nội và tôi,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
660,Và Như Thế Em Đi,Nguyễn Hoài Anh,Pop
661,Em Gái Quê,Lý Bông Dừa,Ca cổ
662,Không đáng để thương,Đinh Tùng Huy,Đinh Tùng Huy|Ballad
663,Bọt biển,Lam Phương,Bolero|Lam Phương
664,Ơn Phật Đã Chọn Con,Thích Nhật Từ,Nhạc phật giáo
665,Thương Lắm Mình Ơi,Lý Bông Dừa,Ca cổ
666,Chúa Đã Sống Lại,Thế Thông,Nhạc thánh ca|Thế Thông
667,Chủ nhật buồn,Anh Bằng,Bolero
668,Bức tâm thư,Lam Phương,Lam Phương|Bolero
669,Vòng Tay Giữ Trọn Ân Tình,Đỗ Kim Bảng,Nhạc vàng
670,Bụi Bay Vào Mắt,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
671,Em về miệt thứ,Hà Phương,
672,Đêm nghe hát đò đưa nhớ Bác,An Thuyên,Nhạc cách mạng
673,Trời ghen má đỏ,Vinh Sử,
674,Tết Này Con Sẽ Về,Bùi Công Nam,Nhạc trẻ
675,Hoài cổ,Đăng Minh,Ca cổ
676,Sợ đánh mất em,Jin Tuấn Nam,Jin Tuấn Nam|pop
677,Mùa thu yêu đương,Lam Phương,Lam Phương|Bolero
678,Vầng trăng tình yêu,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
679,Lời Chúc Ngọt Ngào,Jin Tuấn Nam,"Pop, ballad"
680,Trịnh Gia,Trịnh Trần Phương Tuấn (Jack),Nhạc trẻ|Trịnh Trần Phương Tuấn (Jack)
681,Xe hoa cách biệt,Hùng Linh,Bolero
682,Hoàng tử trong mơ,Giao Tiên,
683,Giờ đã không còn nữa,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
684,Trót Trao Duyên,NB3 Hoài Bảo,Nhạc trẻ
685,Hạ Buồn,Ngô Hồng Khanh,Ca cổ
686,Ngày xưa lên năm lên ba,Duy Khánh|Trầm Tử Thiêng,Duy Khánh|Bolero|Trầm Tử Thiêng
687,Hoa nào anh quên,Khúc Lan,Nhạc ngoại lời Việt
688,Ước Nguyện Đầu Xuân,Giác An,Giác An|Phật giáo
689,Em Khoái Anh Rồi,Hào JK,"Pop, Ballad"
690,Anh,Nguyễn Văn Đông,Trữ tình
691,Sầu cố đô (Không bao giờ em quên),Duy Khánh,Bolero|Duy Khánh
692,Đứng Sau Cuộc Tình 2 (Em Chúc Anh Hạnh Phúc ),Lâm Triệu Minh,Lâm Triệu Minh
693,Trúc đào,Anh Bằng,
694,Vẫn mong chờ anh,Nguyễn Huy Điền,Nhạc trữ tình|Nguyễn Huy Điền
695,Nắng đẹp miền Nam,Lam Phương,Lam Phương|Bolero
696,Cuối Cùng Thì,Trịnh Trần Phương Tuấn (Jack),Nhạc trẻ|Trịnh Trần Phương Tuấn (Jack)
697,Có Yêu Được Không,Jin Tuấn Nam,Pop
698,Đêm Tuyệt Vời,Trần Trịnh,Bolero
699,Ánh mắt quê hương,Hoàng Phương,Bolero
700,Hương thầm,Anh Bằng,
701,Anh thợ giầy,Vinh Sử,Bolero
702,Gặp Lại Chỉ Là Người Lạ,DGRADE,Nhạc trẻ
703,Cứ Thế Rời Xa,Yến Tatoo,Yến Tatoo|pop
704,Chuyện người con gái ao sen,Anh Bằng,
705,Tình mẹ,Lam Phương,Lam Phương|Bolero
706,Một đời yêu em (một đời yêu anh),Trần Thiện Thanh,Trần Thiện Thanh|Bolero
707,Vầng trăng đêm trôi,Lê Quang,Lê Quang|Nhạc trữ tình|Hoàng Tuấn
708,Nửa đêm biên giới,Anh Bằng,
709,Huế thương,An Thuyên,Dân ca
710,Sài Gòn thứ bảy,Anh Bằng,Bolero
711,Vì Sao Trong Lòng Tôi,Ưng Hoàng Phúc,Nhạc trẻ
712,Tình Mẹ,Giác An,Giác An|Phật giáo
713,Mùa Hoa Đào,Việt Sơn,Ca cổ
714,Mưa,Hà Phương,Bolero
715,Nửa Mảnh Tình Rơi,Lý Bông Dừa,Ca cổ
716,Còn gì mà mong,Anh Bằng,Bolero
717,Trái tim mùa đông,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
718,Thiệp Hồng,Trường Lê,Trường Lê|pop
719,Cô Thắm về làng,Giao Tiên,Bolero
720,Tango dĩ vãng,Anh Bằng,Bolero
721,Đời Là Thế Thôi,Lý Bông Dừa,Ca cổ
722,Đi học về,Giao Tiên,Bolero
723,Dòng Sông Tuổi Nhỏ,Vũ Xuân Hùng,Vũ Xuân Hùng|Lời Việt|Nhạc ngoại
724,Xin Tự Hiểu Mình,Vũ Xuân Hùng,Nhạc ngoại|Lời Việt|Vũ Xuân Hùng
725,Nghĩa mẹ tình cha,Vũ Tuấn,Vũ Tuấn|Bolero
726,Vợ Chồng Son,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
727,Lên chùa cầu duyên,Giao Tiên,Bolero
728,Tuổi xuân con gái,Trịnh Lâm Ngân,Bolero
729,Xin Trả Cho Em,Lý Bông Dừa,Ca cổ
730,Mây Lang Thang,TaynguyenSound,TaynguyenSound|Nhạc trẻ
731,Chuyện tình Lan và Điệp 3,Anh Bằng,
732,Bai tho tinh lua trang,Anh Bằng,Bolero
733,Em là cô gái anh thương,Ngô Sỹ Ngọc,Nhạc trữ tình
734,Mất nhau mùa đông,Anh Bằng,
735,Tình nồng cháy,Anh Bằng,Bolero
736,Lãng Du,TaynguyenSound,Nhạc trẻ|TaynguyenSound
737,Anh Ôm Em Được Không,Đông Thiên Đức,"Pop, Ballad"
738,Đại Bi Thần Chú,Ưng Hoàng Phúc,Pop
739,Ai Thay Bác Đốt Lò,Duy Hung,Nhạc Việt
740,Tình Mẹ - Ơn Mẹ,Ngô Huỳnh,Ngô Huỳnh|Bolero
741,Là Anh,Bùi Huy Hiếu,pop
742,Ngại ngùng,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
743,Ba mùa mưa,Anh Bằng,Bolero
744,Hoa Hải Đường,Trịnh Trần Phương Tuấn (Jack),Trịnh Trần Phương Tuấn (Jack)|Nhạc trẻ
745,Ta Có,Ngắn,Nhạc trẻ|Ngắn
746,Nói Sao Cho Em Hiểu,Vũ Xuân Hùng,Lời Việt|Vũ Xuân Hùng|Nhạc ngoại
747,Người đầu gió,Hàn Châu,Hàn Châu|Bolero
748,Chị Tôi,Diệp Vàm Cỏ,Ca cổ
749,Ngàn thu vĩnh biệt,Ngân Giang,Nhạc trữ tình|Ngân Giang
750,Mượn Tình,BÌN,BÌN|pop
751,Em là cô gái anh thương,Ngô Sỹ Ngọc,Nhạc trữ tình
752,Chuyện nắng mưa,Vinh Sử,Bolero
753,Để Cho Em Khóc,Lý Bông Dừa,Ca cổ
754,Rước Nàng,BÌN,BÌN|pop
755,Nàng Thơ,Ý Tiên,pop|Ý Tiên
756,Chiều hành quân,Lam Phương,Bolero|Lam Phuong
757,Anh Không Phải Lo,Hào JK,"Pop, Ballad"
758,Xin Má Rước Dâu,Lương Gia Hùng,Pop
759,Cứ Ngỡ,NB3 Hoài Bảo,Nhạc trẻ
760,Lặng Thầm,Dương Khắc Linh,"Pop, Ballad"
761,Em Đi Rồi,Lam Phuong,Nhạc Trữ Tình
762,Người Thứ Ba,H2K,H2K|Nhạc trẻ
763,Dalatmango,TaynguyenSound,TaynguyenSound|Nhạc trẻ
764,Gian Dối (Tuổi Mang Sầu),Đắc Chung,Bolero
765,Bé tập thể dục buổi sáng,Nguyễn Văn Chung,Nhạc thiếu nhi
766,Màu xanh kỷ niệm,Vinh Sử,
767,Kiếp phiêu bồng,Lam Phương,Bolero|Lam Phương
768,Cõi nhớ,Ngân Giang,Ngân Giang|Nhạc trữ tình
769,Vô Lượng,Masew,Masew|pop
770,Đêm giã từ,Vũ Tuấn,Bolero|Vũ Tuấn
771,Tình đẹp như mơ,Ngân Giang,Nhạc trữ tình|Ngân Giang
772,Tủi Duyên,Hoàng Oanh,Hoàng Oanh
773,Đoạn tái bút 2,Bằng Giang|Tú Nhi,Bằng Giang|Bolero|Tú Nhi
774,Tấm Lòng Son,H-Kray|Huỳnh Chương,H-Kray|Huỳnh Chương|pop
775,Chiều bên sông buồn,Vũ Tuấn,Vũ Tuấn|Bolero
776,Chiều hành quân,Lam Phương,Bolero|Lam Phương
777,Chôm chôm lý qua phà,Vinh Sử,
778,Nhắn rằng anh nhớ em,Đình Dũng,Đình Dũng|Ballad
779,Đau Ở Đây Này,Nal,Nhạc trẻ
780,Lỡ một cuộc tình số 4,Anh Bằng,Bolero
781,Tình yêu tuyệt vời,Anh Bằng,Bolero
782,Tiền Là Cát Bụi,Lý Bông Dừa,Ca cổ
783,Đêm buồn,Nguyễn Văn Đông,Trữ tình
784,Nợ tình,Giao Tiên,Bolero
785,"Có Một Người, Luôn Cười Khi Anh Đến",TaynguyenSound,TaynguyenSound|Nhạc trẻ
786,Tình đời 2,Lam Phương,Lam Phương|Bolero
787,Nước mắt quê hương,Anh Bằng,Bolero
788,Khổ đau phận người,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
789,Hình bóng người yêu (Nàng yêu hoa tím/Nhớ người yêu xưa),Giao Tiên,
790,Lỡ mai anh chết,Anh Bằng,Bolero
791,Lạy trời con được bình yên,Lam Phương,Lam Phương|Bolero
792,Xin hãy quên tôi,Anh Bằng,Bolero
793,Sầu Hồng Gai,Nguyễn Cường Thịnh (Jombie),Pop
794,Dũng Khí,DGRADE,Nhạc trẻ
795,Xin Mưa Ngừng Rơi,Johnny Dũng,Nhạc trữ tình
796,Tình yêu như mũi tên,Anh Bằng,Bolero
797,Con Xin Phó Thác,Thế Thông,Nhạc thánh ca|Thế Thông
798,Nếu vắng anh,Anh Bằng,Bolero
799,Cô Gái M52,Lý Bông Dừa,Ca cổ
800,Khúc Tình Dối Gian,Vũ Xuân Hùng,Vũ Xuân Hùng|Nhạc ngoại|Lời Việt
801,Đời Mẹ Đời Con,BÌN,Pop
802,Lời Trần Tình,Sr. Hiền Hòa,Nhạc Thánh Ca
803,Chấp nhận,Anh Bằng,Bolero
804,Tình phai,Anh Bằng,Bolero
805,Dòng sông kỷ niệm,Trúc Hồ,"Bolero, ĐQ Asia"
806,Người Yêu Cũ Có Người Yêu Mới,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
807,Người Em Từng Yêu,One Music,pop|One Music|Ballad
808,Bad Boy,Đỗ Hiếu,Nhạc trẻ
809,Thương lắm Làng Nủ ơi,Danh Mã Phi Hùng,Nhạc Trữ Tình
810,Khổ tâm,Vinh Sử,
811,Tình đẹp đến mấy cũng tàn,Như Việt,Như Việt|Ballad
812,Em chịu hông,Jin Tuấn Nam,Jin Tuấn Nam|pop
813,Hỏi Cưới Em,Hoàng Văn Minh,Nhạc Trừ Tình
